-------TROLLS-------
Nome: Thorgar, Espécie: Troll, Classe: Bárbaro, Level: 9, Pontos de Dano: 48.6
Nome: Drakkar, Espécie: Troll, Classe: Bárbaro, Level: 15, Pontos de Dano: 81.0
Nome: Thorn, Espécie: Troll, Classe: Bárbaro, Level: 18, Pontos de Dano: 97.2
Nome: Grim, Espécie: Troll, Classe: Bárbaro, Level: 16, Pontos de Dano: 86.4
Nome: Rowan, Espécie: Troll, Classe: Bárbaro, Level: 19, Pontos de Dano: 102.6
Nome: Luther, Espécie: Troll, Classe: Bárbaro, Level: 17, Pontos de Dano: 91.8
Nome: Kieran, Espécie: Troll, Classe: Bárbaro, Level: 20, Pontos de Dano: 108.0
Nome: Rhys, Espécie: Troll, Classe: Bárbaro, Level: 16, Pontos de Dano: 86.4
Nome: Aria, Espécie: Troll, Classe: Bárbaro, Level: 20, Pontos de Dano: 108.0
Nome: Kronk, Espécie: Troll, Classe: Bárbaro, Level: 18, Pontos de Dano: 97.2
Nome: Finn, Espécie: Troll, Classe: Bárbaro, Level: 19, Pontos de Dano: 102.6
Nome: Rocco, Espécie: Troll, Classe: Bárbaro, Level: 17, Pontos de Dano: 91.8
Nome: Bryn, Espécie: Troll, Classe: Bárbaro, Level: 16, Pontos de Dano: 86.4
Nome: Grom, Espécie: Troll, Classe: Bárbaro, Level: 17, Pontos de Dano: 91.8
Nome: Thorgar, Espécie: Troll, Classe: Bárbaro, Level: 20, Pontos de Dano: 108.0
-------ELFOS-------
Nome: Elena, Espécie: Elfa, Classe: Maga, Level: 15, Pontos de Dano: 81.0
Nome: Liam, Espécie: Elfo, Classe: Ladino, Level: 12, Pontos de Dano: 64.8
Nome: Gavin, Espécie: Elfo, Classe: Mago, Level: 16, Pontos de Dano: 86.4
Nome: Isabella, Espécie: Elfa, Classe: Feiticeira, Level: 11, Pontos de Dano: 59.4
Nome: Lyra, Espécie: Elfa, Classe: Maga, Level: 10, Pontos de Dano: 54.0
Nome: Gideon, Espécie: Elfo, Classe: Ladino, Level: 12, Pontos de Dano: 64.8
Nome: Kael, Espécie: Elfa, Classe: Feiticeira, Level: 14, Pontos de Dano: 75.6
Nome: Leona, Espécie: Elfa, Classe: Maga, Level: 11, Pontos de Dano: 59.4
Nome: Elara, Espécie: Elfo, Classe: Ladino, Level: 13, Pontos de Dano: 70.2
Nome: Grom, Espécie: Elfo, Classe: Feiticeira, Level: 12, Pontos de Dano: 64.8
Nome: Thorn, Espécie: Elfa, Classe: Maga, Level: 9, Pontos de Dano: 48.6
Nome: Rhys, Espécie: Elfo, Classe: Ladino, Level: 11, Pontos de Dano: 59.4
Nome: Erik, Espécie: Elfo, Classe: Feiticeira, Level: 10, Pontos de Dano: 54.0
Nome: Leona, Espécie: Elfa, Classe: Maga, Level: 11, Pontos de Dano: 59.4
Nome: Gavin, Espécie: Elfo, Classe: Ladino, Level: 13, Pontos de Dano: 70.2
Nome: Finnick, Espécie: Elfo, Classe: Mago, Level: 13, Pontos de Dano: 70.2
Nome: Evelyn, Espécie: Elfa, Classe: Ladina, Level: 10, Pontos de Dano: 54.0
Nome: Aria, Espécie: Elfa, Classe: Feiticeira, Level: 16, Pontos de Dano: 86.4
Nome: Cedric, Espécie: Elfo, Classe: Mago, Level: 11, Pontos de Dano: 59.4
Nome: Eris, Espécie: Elfa, Classe: Ladina, Level: 12, Pontos de Dano: 64.8
Nome: Elara, Espécie: Elfa, Classe: Feiticeira, Level: 17, Pontos de Dano: 91.8
Nome: Faelan, Espécie: Elfo, Classe: Mago, Level: 12, Pontos de Dano: 64.8
Nome: Sylvia, Espécie: Elfa, Classe: Ladina, Level: 13, Pontos de Dano: 70.2
Nome: Elowen, Espécie: Elfa, Classe: Feiticeira, Level: 18, Pontos de Dano: 97.2
Nome: Gavin, Espécie: Elfo, Classe: Mago, Level: 13, Pontos de Dano: 70.2
Nome: Luna, Espécie: Elfa, Classe: Ladina, Level: 14, Pontos de Dano: 75.6
Nome: Elara, Espécie: Elfa, Classe: Feiticeira, Level: 19, Pontos de Dano: 102.6
Nome: Rhona, Espécie: Elfa, Classe: Sacerdotisa, Level: 15, Pontos de Dano: 81.0
Nome: Elara, Espécie: Elfa, Classe: Maga, Level: 9, Pontos de Dano: 48.6
Nome: Thalia, Espécie: Elfa, Classe: Ranger, Level: 13, Pontos de Dano: 70.2
Nome: Lyla, Espécie: Elfa, Classe: Feiticeira, Level: 16, Pontos de Dano: 86.4
Nome: Gavin, Espécie: Elfo, Classe: Mago, Level: 10, Pontos de Dano: 54.0
Nome: Elise, Espécie: Elfa, Classe: Ladina, Level: 11, Pontos de Dano: 59.4
Nome: Eira, Espécie: Elfa, Classe: Feiticeira, Level: 15, Pontos de Dano: 81.0
Nome: Kael, Espécie: Elfo, Classe: Ladino, Level: 6, Pontos de Dano: 32.4
Nome: Elysia, Espécie: Elfo, Classe: Mago, Level: 15, Pontos de Dano: 81.0
Nome: Luna, Espécie: Elfo, Classe: Sacerdotisa, Level: 12, Pontos de Dano: 64.8
Nome: Gideon, Espécie: Elfo, Classe: Ladino, Level: 6, Pontos de Dano: 32.4
Nome: Aurelia, Espécie: Elfa, Classe: Feiticeira, Level: 14, Pontos de Dano: 75.6
Nome: Helena, Espécie: Elfa, Classe: Ranger, Level: 13, Pontos de Dano: 70.2
Nome: Elara, Espécie: Elfa, Classe: Maga, Level: 11, Pontos de Dano: 59.4
Nome: Talia, Espécie: Elfa, Classe: Arqueira, Level: 16, Pontos de Dano: 86.4
Nome: Sylvia, Espécie: Elfa, Classe: Feiticeira, Level: 12, Pontos de Dano: 64.8
Nome: Kara, Espécie: Elfa, Classe: Ranger, Level: 14, Pontos de Dano: 75.6
